City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp_C,Wind KmH
53,gakem,6.7658,8.9881,297.33,95,97,3.53,NG,1684988558,24.180000000000007,12.708
54,bahar,34.9072,48.4414,290.24,63,0,1.03,IR,1684988559,17.090000000000032,3.708
55,tazovsky,67.4667,78.7,277.42,76,14,3.05,RU,1684988161,4.270000000000039,10.98
56,la ronge,55.1001,-105.2842,282.29,93,100,2.06,CA,1684988560,9.140000000000043,7.416
57,mount isa,-20.7333,139.5,301.02,26,0,3.6,AU,1684988186,27.870000000000005,12.96
58,alice springs,-23.7,133.8833,298.9,13,0,3.09,AU,1684988108,25.75,11.124
59,yellowknife,62.456,-114.3525,290.13,58,20,4.92,CA,1684988157,16.980000000000018,17.712
60,chinsali,-10.5414,32.0816,286.48,86,21,1.92,ZM,1684988561,13.330000000000041,6.912
61,port mathurin,-19.6833,63.4167,298.22,71,78,4.79,MU,1684988208,25.07000000000005,17.244
62,atafu village,-8.5421,-172.5159,301.26,70,75,1.18,TK,1684988239,28.110000000000014,4.248
63,luderitz,-26.6481,15.1594,285.25,88,19,3.62,NA,1684988210,12.100000000000023,13.032
64,hadibu,12.65,54.0333,302.57,69,62,2.86,YE,1684988268,29.420000000000016,10.296
65,anisoc,1.8658,10.7689,294.47,99,96,0.4,GQ,1684988562,21.32000000000005,1.4400000000000002
66,bredasdorp,-34.5322,20.0403,286.31,86,100,5.67,ZA,1684988158,13.160000000000025,20.412
67,flin flon,54.7682,-101.865,287.69,69,79,3.13,CA,1684988563,14.54000000000002,11.268
68,kapuskasing,49.4169,-82.4331,278.15,60,0,1.03,CA,1684988222,5.0,3.708
69,bandar lampung,-5.4254,105.258,302.93,63,22,2.87,ID,1684988564,29.78000000000003,10.332
70,kyabe,9.4515,18.9449,301.83,41,80,3.17,TD,1684988564,28.680000000000007,11.412
71,vilyuchinsk,52.9306,158.4028,287.3,76,32,2.43,RU,1684988250,14.150000000000034,8.748000000000001
72,thunder bay,48.4001,-89.3168,274.1,69,0,1.54,CA,1684988384,0.9500000000000455,5.5440000000000005
73,iquique,-20.2208,-70.1431,292.17,79,55,0.99,CL,1684988567,19.02000000000004,3.564
74,tottenham,-32.2333,147.35,294.05,22,91,7.52,AU,1684988568,20.900000000000034,27.072
75,qaqortoq,60.7167,-46.0333,273.7,99,100,4.27,GL,1684988196,0.5500000000000114,15.371999999999998
76,udachny,66.4167,112.4,276.18,74,100,6.63,RU,1684988166,3.0300000000000296,23.868
77,bikenibeu village,1.3673,173.1241,304.13,70,40,2.06,KI,1684988160,30.980000000000018,7.416
78,bako,5.7833,36.5667,289.91,92,96,1.93,ET,1684988569,16.760000000000048,6.9479999999999995
79,kingston,17.997,-76.7936,301.68,81,20,2.06,JM,1684988155,28.53000000000003,7.416
80,klyuchi,52.2667,79.1667,291.43,26,64,3.98,RU,1684988207,18.28000000000003,14.328
81,jumla,29.2747,82.1838,285.1,90,100,2.4,NP,1684988107,11.950000000000045,8.64
82,ribeira grande,38.5167,-28.7,289.14,79,17,3.13,PT,1684988179,15.990000000000009,11.268
83,porto seguro,-16.4497,-39.0647,296.44,94,100,4.12,BR,1684988571,23.29000000000002,14.832
84,yanam,16.7333,82.2167,309.22,49,40,3.04,IN,1684988571,36.07000000000005,10.944
85,college,64.8569,-147.8028,293.47,40,75,2.57,US,1684988156,20.32000000000005,9.251999999999999
86,santiago de cao,-7.9589,-79.2392,296.22,78,100,4.12,PE,1684988343,23.07000000000005,14.832
87,yarmouth,41.7057,-70.2286,286.18,93,100,10.73,US,1684988572,13.03000000000003,38.628
88,beaumont,30.0861,-94.1019,297.17,78,75,2.57,US,1684988572,24.02000000000004,9.251999999999999
89,sao tome,0.3365,6.7273,299.64,85,100,3.49,ST,1684988252,26.49000000000001,12.564000000000002
90,plastun,44.7561,136.2939,295.69,40,65,5.0,RU,1684988572,22.54000000000002,18.0
91,grand falls-windsor,48.9332,-55.6649,278.43,81,9,3.06,CA,1684988251,5.28000000000003,11.016
92,iron mountain,45.8202,-88.066,280.05,51,0,2.06,US,1684988573,6.900000000000034,7.416
